customerId,firstName,lastName,DOB,phoneNumber,email,points
901,Sue,Jones,1999-01-07,979-469-9309,sue.jones8@example.com,568
902,John,Davis,1996-01-21,979-811-9213,john.davis19@example.com,378
903,Mike,Brown,2004-05-22,979-134-8125,mike.brown44@example.com,442
904,Peter,Moore,1995-04-13,979-489-2345,peter.moore90@example.com,21
905,John,Wilson,2001-01-25,979-669-1185,john.wilson76@example.com,122
906,Peter,Miller,2001-05-11,979-595-9343,peter.miller10@example.com,853
907,Mike,Doe,2001-02-09,979-996-1521,mike.doe28@example.com,674
908,Peter,Doe,1995-08-28,979-196-5846,peter.doe78@example.com,206
909,Peter,Davis,1999-12-23,979-346-2588,peter.davis3@example.com,996
910,Sue,Brown,2003-05-16,979-926-7032,sue.brown24@example.com,551
911,Chris,Lee,1995-10-26,979-311-3388,chris.lee73@example.com,441
912,Alex,Smith,2000-02-15,979-368-8136,alex.smith20@example.com,576
913,Alex,Smith,2005-06-03,979-330-5113,alex.smith21@example.com,168
914,Mary,Williams,1995-03-22,979-660-4197,mary.williams61@example.com,364
915,Jane,Doe,2004-11-24,979-480-9808,jane.doe76@example.com,852
916,Mary,Doe,1997-01-12,979-627-5114,mary.doe90@example.com,912
917,Mike,Williams,2004-05-21,979-261-1632,mike.williams9@example.com,203
918,Mary,Wilson,1999-10-20,979-761-2489,mary.wilson67@example.com,713
919,Chris,Davis,2000-11-06,979-787-1762,chris.davis97@example.com,570
920,Sue,Davis,1997-06-24,979-793-9466,sue.davis47@example.com,802
921,Alex,Lee,1995-02-02,979-669-2846,alex.lee25@example.com,302
922,Taylor,Brown,2005-10-18,979-274-8617,taylor.brown57@example.com,1
923,Jane,Lee,1997-03-14,979-606-8354,jane.lee21@example.com,784
924,Mike,Smith,1996-08-06,979-760-8067,mike.smith10@example.com,222
925,Mary,Moore,1999-02-25,979-560-5848,mary.moore58@example.com,965
926,Peter,Jones,2004-10-01,979-772-2250,peter.jones21@example.com,101
927,Chris,Miller,2002-05-26,979-498-8667,chris.miller59@example.com,256
928,Taylor,Moore,2002-05-09,979-418-2744,taylor.moore54@example.com,684
929,Taylor,Wilson,1997-02-08,979-264-8152,taylor.wilson92@example.com,499
930,Sue,Brown,2000-09-17,979-203-3687,sue.brown74@example.com,960
931,Sue,Jones,2003-08-28,979-416-9046,sue.jones3@example.com,757
932,Pat,Moore,2003-05-26,979-690-9432,pat.moore63@example.com,926
933,Mary,Miller,1995-01-04,979-353-1379,mary.miller64@example.com,747
934,Peter,Wilson,2001-05-06,979-287-4606,peter.wilson97@example.com,302
935,Jane,Jones,2002-11-16,979-606-3641,jane.jones45@example.com,856
936,Chris,Wilson,2001-11-01,979-148-9059,chris.wilson15@example.com,751
937,Sue,Smith,2000-08-18,979-903-8549,sue.smith49@example.com,548
938,John,Doe,1996-11-05,979-110-5705,john.doe10@example.com,602
939,Sue,Davis,1998-10-08,979-625-9352,sue.davis91@example.com,529
940,Taylor,Miller,1999-03-12,979-169-5451,taylor.miller90@example.com,463
941,Chris,Brown,2002-10-25,979-739-4482,chris.brown45@example.com,900
942,Taylor,Brown,2001-07-06,979-164-4716,taylor.brown94@example.com,524
943,Sue,Jones,2004-01-26,979-555-1576,sue.jones33@example.com,600
944,Chris,Lee,2003-07-02,979-629-2868,chris.lee31@example.com,279
945,Alex,Doe,1999-06-19,979-291-3687,alex.doe42@example.com,552
946,Mike,Moore,2005-05-16,979-964-9965,mike.moore52@example.com,966
947,Sue,Williams,1997-09-07,979-258-2869,sue.williams85@example.com,350
948,Chris,Wilson,2003-07-02,979-351-6965,chris.wilson22@example.com,769
